seed,ch_fixed,nnet,HighEnergyLevelChargeStopper,HighEnergyWantsToCharge,ChargeOnVeryLowEnergy,LowEnergyFlyToField,DroneOnEmptyField,HighEnergyIdleDronesVeryFarFromBirds,set_state,which_simulation,drones,file,redflags,charger_option,hysteresis,active_drones,total_damage,alive_drone_rate,damage_rate,charger_capacity
9,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,120,real-life,RedflagsEnum.answer,3,none,97,14,0.8083333333333333,0.013958125623130608,40
9,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,30,fill_one_drone,RedflagsEnum.answer,3,none,8,196,0.26666666666666666,0.19898477157360406,8
9,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,24,U-1-ch,RedflagsEnum.answer,3,none,7,285,0.2916666666666667,0.3081081081081081,6
9,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,15,1tiny,RedflagsEnum.answer,3,none,3,258,0.2,0.27388535031847133,2
9,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,15,5dice-3,RedflagsEnum.answer,3,none,1,389,0.06666666666666667,0.8800904977375565,1
9,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,2,259,0.25,0.2843029637760702,3
9,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,4,orig,RedflagsEnum.answer,3,none,3,67,0.75,0.2875536480686695,3
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,4,orig,RedflagsEnum.answer,3,B0.15-5,0,8,0.0,0.034334763948497854,3
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,25,107,0.8333333333333334,0.10862944162436548,8
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,11,49,0.4583333333333333,0.05297297297297297,6
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,15,1tiny,RedflagsEnum.answer,3,B0.15-5,10,62,0.6666666666666666,0.06581740976645435,2
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,10,61,0.6666666666666666,0.13800904977375567,1
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,120,real-life,RedflagsEnum.answer,3,B0.15-5,97,110,0.8083333333333333,0.10967098703888335,40
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,4,orig,RedflagsEnum.answer,3,B0.15-5,0,8,0.0,0.034334763948497854,3
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,25,107,0.8333333333333334,0.10862944162436548,8
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,11,49,0.4583333333333333,0.05297297297297297,6
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,10,61,0.6666666666666666,0.13800904977375567,1
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,15,1tiny,RedflagsEnum.answer,3,B0.15-5,10,62,0.6666666666666666,0.06581740976645435,2
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,120,real-life,RedflagsEnum.answer,3,B0.15-5,97,110,0.8083333333333333,0.10967098703888335,40
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,120,real-life,RedflagsEnum.answer,3,B0.15-5,98,11,0.8166666666666667,0.010967098703888335,40
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,8,5dice-2-1000epoch,RedflagsEnum.answer,3,B0.15-5,8,60,1.0,0.06586169045005488,3
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,25,46,0.8333333333333334,0.046700507614213196,8
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,20,orig-100birds,RedflagsEnum.answer,3,B0.15-5,1,233,0.05,1.0,3
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,21,25,0.875,0.02702702702702703,6
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,4,orig,RedflagsEnum.answer,3,B0.15-5,1,84,0.25,0.3605150214592275,3
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,15,1tiny,RedflagsEnum.answer,3,B0.15-5,12,51,0.8,0.054140127388535034,2
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,10,134,0.6666666666666666,0.3031674208144796,1
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,120,real-life,RedflagsEnum.answer,3,B0.15-5,97,110,0.8083333333333333,0.10967098703888335,40
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,8,5dice-2-1000epoch,RedflagsEnum.answer,3,B0.15-5,8,49,1.0,0.05378704720087816,3
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,23,106,0.7666666666666667,0.10761421319796954,8
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,20,orig-100birds,RedflagsEnum.answer,3,B0.15-5,11,233,0.55,1.0,3
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,16,41,0.6666666666666666,0.04432432432432432,6
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,4,orig,RedflagsEnum.answer,3,B0.15-5,3,33,0.75,0.14163090128755365,3
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,9,97,0.6,0.21945701357466063,1
9,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,15,1tiny,RedflagsEnum.answer,3,B0.15-5,14,51,0.9333333333333333,0.054140127388535034,2
9,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,120,real-life,RedflagsEnum.answer,3,none,97,350,0.8083333333333333,0.3489531405782652,40
9,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,30,fill_one_drone,RedflagsEnum.answer,3,none,19,686,0.6333333333333333,0.6964467005076143,8
9,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,20,orig-100birds,RedflagsEnum.answer,3,none,11,233,0.55,1.0,3
9,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,24,U-1-ch,RedflagsEnum.answer,3,none,10,447,0.4166666666666667,0.48324324324324325,6
9,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,4,orig,RedflagsEnum.answer,3,none,3,65,0.75,0.27896995708154504,3
9,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,15,5dice-3,RedflagsEnum.answer,3,none,2,375,0.13333333333333333,0.8484162895927602,1
9,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,15,1tiny,RedflagsEnum.answer,3,none,8,212,0.5333333333333333,0.22505307855626328,2
9,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,6,268,0.75,0.29418221734357847,3
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,120,real-life,RedflagsEnum.answer,3,none,98,374,0.8166666666666667,0.3728813559322034,40
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,8,438,1.0,0.4807903402854007,3
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,30,fill_one_drone,RedflagsEnum.answer,3,none,16,852,0.5333333333333333,0.86497461928934,8
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,20,orig-100birds,RedflagsEnum.answer,3,none,6,233,0.3,1.0,3
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,24,U-1-ch,RedflagsEnum.answer,3,none,12,510,0.5,0.5513513513513514,6
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,4,orig,RedflagsEnum.answer,3,none,3,123,0.75,0.5278969957081545,3
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,15,5dice-3,RedflagsEnum.answer,3,none,4,442,0.26666666666666666,1.0,1
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,15,1tiny,RedflagsEnum.answer,3,none,4,359,0.26666666666666666,0.38110403397027603,2
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,120,real-life,RedflagsEnum.answer,3,none,98,282,0.8166666666666667,0.2811565304087737,40
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,30,fill_one_drone,RedflagsEnum.answer,3,none,13,713,0.43333333333333335,0.7238578680203046,8
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,20,orig-100birds,RedflagsEnum.answer,3,none,4,233,0.2,1.0,3
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,4,orig,RedflagsEnum.answer,3,none,3,89,0.75,0.38197424892703863,3
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,24,U-1-ch,RedflagsEnum.answer,3,none,4,452,0.16666666666666666,0.48864864864864865,6
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,15,5dice-3,RedflagsEnum.answer,3,none,1,421,0.06666666666666667,0.9524886877828054,1
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,3,382,0.375,0.41931942919868276,3
9,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,15,1tiny,RedflagsEnum.answer,3,none,3,268,0.2,0.28450106157112526,2
8,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,120,real-life,RedflagsEnum.answer,3,none,100,13,0.8333333333333334,0.01296111665004985,40
8,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,30,fill_one_drone,RedflagsEnum.answer,3,none,6,324,0.2,0.32893401015228424,8
8,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,24,U-1-ch,RedflagsEnum.answer,3,none,6,270,0.25,0.2918918918918919,6
8,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,15,5dice-3,RedflagsEnum.answer,3,none,2,351,0.13333333333333333,0.7941176470588235,1
8,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,15,1tiny,RedflagsEnum.answer,3,none,3,220,0.2,0.23354564755838642,2
8,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,2,350,0.25,0.38419319429198684,3
8,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,4,orig,RedflagsEnum.answer,3,none,3,95,0.75,0.40772532188841204,3
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,4,orig,RedflagsEnum.answer,3,B0.15-5,0,14,0.0,0.060085836909871244,3
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,21,95,0.7,0.09644670050761421,8
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,9,57,0.375,0.061621621621621624,6
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,9,71,0.6,0.16063348416289594,1
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,15,1tiny,RedflagsEnum.answer,3,B0.15-5,13,65,0.8666666666666667,0.06900212314225053,2
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey_partial,120,real-life,RedflagsEnum.answer,3,B0.15-5,101,76,0.8416666666666667,0.07577268195413758,40
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,4,orig,RedflagsEnum.answer,3,B0.15-5,0,14,0.0,0.060085836909871244,3
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,21,95,0.7,0.09644670050761421,8
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,9,57,0.375,0.061621621621621624,6
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,9,71,0.6,0.16063348416289594,1
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,15,1tiny,RedflagsEnum.answer,3,B0.15-5,13,65,0.8666666666666667,0.06900212314225053,2
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_obey,120,real-life,RedflagsEnum.answer,3,B0.15-5,101,76,0.8416666666666667,0.07577268195413758,40
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,120,real-life,RedflagsEnum.answer,3,B0.15-5,101,76,0.8416666666666667,0.07577268195413758,40
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,8,5dice-2-1000epoch,RedflagsEnum.answer,3,B0.15-5,8,83,1.0,0.09110867178924259,3
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,21,95,0.7,0.09644670050761421,8
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,13,58,0.5416666666666666,0.0627027027027027,6
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,20,orig-100birds,RedflagsEnum.answer,3,B0.15-5,13,233,0.65,1.0,3
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,4,orig,RedflagsEnum.answer,3,B0.15-5,3,35,0.75,0.15021459227467812,3
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,9,102,0.6,0.23076923076923078,1
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ensemble_priority,15,1tiny,RedflagsEnum.answer,3,B0.15-5,10,57,0.6666666666666666,0.06050955414012739,2
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,120,real-life,RedflagsEnum.answer,3,B0.15-5,101,17,0.8416666666666667,0.01694915254237288,40
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,8,5dice-2-1000epoch,RedflagsEnum.answer,3,B0.15-5,8,73,1.0,0.0801317233809001,3
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,30,fill_one_drone,RedflagsEnum.answer,3,B0.15-5,21,69,0.7,0.0700507614213198,8
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,20,orig-100birds,RedflagsEnum.answer,3,B0.15-5,13,209,0.65,0.8969957081545065,3
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,24,U-1-ch,RedflagsEnum.answer,3,B0.15-5,23,34,0.9583333333333334,0.036756756756756756,6
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,4,orig,RedflagsEnum.answer,3,B0.15-5,2,72,0.5,0.3090128755364807,3
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,15,5dice-3,RedflagsEnum.answer,3,B0.15-5,7,156,0.4666666666666667,0.35294117647058826,1
8,1,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,15,1tiny,RedflagsEnum.answer,3,B0.15-5,13,61,0.8666666666666667,0.06475583864118896,2
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,120,real-life,RedflagsEnum.answer,3,none,101,303,0.8416666666666667,0.3020937188434696,40
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,30,fill_one_drone,RedflagsEnum.answer,3,none,20,669,0.6666666666666666,0.6791878172588832,8
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,20,orig-100birds,RedflagsEnum.answer,3,none,14,233,0.7,1.0,3
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,24,U-1-ch,RedflagsEnum.answer,3,none,8,481,0.3333333333333333,0.52,6
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,4,orig,RedflagsEnum.answer,3,none,3,143,0.75,0.6137339055793991,3
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,8,330,1.0,0.36223929747530187,3
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,15,5dice-3,RedflagsEnum.answer,3,none,2,338,0.13333333333333333,0.7647058823529411,1
8,0,256B,1,1,1,1,1,1,SetState.use_set_state_minimal,baseline_with_rf_argmax,15,1tiny,RedflagsEnum.answer,3,none,7,202,0.4666666666666667,0.21443736730360935,2
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,120,real-life,RedflagsEnum.answer,3,none,101,367,0.8416666666666667,0.3659022931206381,40
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,8,394,1.0,0.43249176728869376,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,30,fill_one_drone,RedflagsEnum.answer,3,none,16,860,0.5333333333333333,0.8730964467005076,8
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,20,orig-100birds,RedflagsEnum.answer,3,none,6,233,0.3,1.0,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,24,U-1-ch,RedflagsEnum.answer,3,none,12,493,0.5,0.532972972972973,6
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,4,orig,RedflagsEnum.answer,3,none,3,90,0.75,0.38626609442060084,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,15,5dice-3,RedflagsEnum.answer,3,none,5,442,0.3333333333333333,1.0,1
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,15,1tiny,RedflagsEnum.answer,3,none,4,319,0.26666666666666666,0.3386411889596603,2
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,120,real-life,RedflagsEnum.answer,3,none,100,293,0.8333333333333334,0.292123629112662,40
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,30,fill_one_drone,RedflagsEnum.answer,3,none,9,696,0.3,0.7065989847715736,8
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,20,orig-100birds,RedflagsEnum.answer,3,none,3,233,0.15,1.0,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,4,orig,RedflagsEnum.answer,3,none,3,96,0.75,0.41201716738197425,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,24,U-1-ch,RedflagsEnum.answer,3,none,3,422,0.125,0.4562162162162162,6
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,15,5dice-3,RedflagsEnum.answer,3,none,1,408,0.06666666666666667,0.9230769230769231,1
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,8,5dice-2-1000epoch,RedflagsEnum.answer,3,none,3,338,0.375,0.37102085620197583,3
8,0,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,betterbaseline,15,1tiny,RedflagsEnum.answer,3,none,3,283,0.2,0.30042462845010615,2
7,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,120,real-life,RedflagsEnum.answer,3,none,95,27,0.7916666666666666,0.026919242273180457,40
7,1,256B,0,0,0,0,0,0,SetState.use_set_state_minimal,baseline_with_composiion,30,fill_one_drone,RedflagsEnum.answer,3,none,12,252,0.4,0.25583756345177666,8
